,entity,summary,headline
0,AMZN,"Amazon to launch food and drink sales in Mexico,,,,,,",Amazon to launch food and drink sales in Mexico
1,XOM,"Exxon Mobil Corp. is set to invest $50 billion over the next half decade in a return to the oil giant’s spending habits before crude suffered its worst price rout in a generation.,,,,,,","Exxon Plans $50 Billion Building Spree, But Details Scarce"
2,NDAQ,"Nasdaq's (NDAQ) intends to enhance its technology and analytics capability with Cinnober consolidation.,,,,,,",Nasdaq to Boost Technology Offering With Cinnober Buyout
3,GPN,nan,Savvy Senior 'Income Factory' Churns Out The Cash While Market Prices Languish
4,PG,nan,Dividend Sensei's Portfolio Update 33: A Priceless Buffett Strategy That Can Make You Rich
5,MDT,"NA,,,,,,",FDA OKs Medtronic's myPTM for ondemand pain management
6,PSX,"- PBF Energy, Phillips 66, Renewable Energy, and Sunoco-PR Newswire NEW YORK, May 02, 2018 NEW YORK, May 02, 2018 /PRNewswire/ -- WallStEquities.com strives to bring the best free research to the investment community.  Today we are offering reports on PBF, PSX, REGI, and SUN which can be accessed for f...,,,,,,",PreMarket Technical Scan on Oil & Gas Equities 
7,ECL,"Ecolab CEO Doug Baker joins 'Squawk Box' to discuss his 'tariff-proof' strategy and why he doesn't think tariffs will hurt them.,,,,,,",Ecolab CEO on his 'tariffproof' manufacturing strategy
8,DGX,nan,Quest Diagnostics to acquire U.S. lab operations of Oxford Immunotec
9,DRE,nan,Duke Realty declares $0.20 dividend
10,D,nan,Where Should You Be Looking?
11,SPG,nan,Rose Portfolio 93 Stock Cost Per Share Revealed In The First Half And Q2 2018 Report
12,GS," but will it be a damp squib?,,,,,,","Goldman Sachs wants your piggy bankThe ""giant vampire squid"" will target the UK savings market next week "
13,AEP,"* AMERICAN ELECTRIC POWER COMPANY INC - PLAN TO INVEST $17.7 BILLION IN CAPITAL OVER NEXT THREE YEARS Source text for Eikon: Further company coverage:,,,,,,",BRIEFAmerican Electric Power Plans To Invest $17.7 Bln In Capital Over Next Three Years
14,AMP,"Ameriprise (AMP) delivered earnings and revenue surprises of 3.60% and 3.30%, respectively, for the quarter ended September 2018. Do the numbers hold clues to what lies ahead for the stock?,,,,,,",Ameriprise Financial Services (AMP) Q3 Earnings and Revenues Surpass Estimates
15,IR,"The Panthers have placed Matt Kalil on injured reserve with a knee injury, meaning the team's starting left tackle will miss at least eight games,,,,,,",Panthers place LT Kalil on IR; out at least 8 games
16,CTSH,"Cognizant Technology Solutions today submitted in the Madras High Court that the tax demand made by the Income Tax department was not justified and without jurisdiction.The court had in April granted interim stay on the Income Tax department's pro...,,,,,,","Income tax demand is not justified, Cognizant tells High Court"
17,LLL,nan,Defense stocks in focus after Syria attack
18,ES,"NA,,,,,,",Eversource Energy (ES) Q1 2018 Results  Earnings Call Transcript
19,FL,"FL earnings call for the period ending May 5, 2018.,,,,,,","Foot Locker, Inc. (FL) Q1 2018 Earnings Conference Call Transcript"
20,SNA,"On Inc says <U+200D>On Feb 20 Co Entered Into Underwriting Agreement-* SNAP-ON INC - <U+200D>ON FEBRUARY 20, 2018, CO ENTERED INTO AN UNDERWRITING AGREEMENT - SEC FILING<U+200B>,,,,,,",BRIEFSnap
21,SYK,nan,A Happy First Year Anniversary For The Dividend Growth TR Portfolio
22,ITW,"- Home Bay, a technology-driven real estate company, is expanding to Colorado, bringing its presence to six states, including California, Florida, Illinois, Georgia and Texas....,,,,,,","Home Bay is Expanding to Colorado, Continuing its Rapid GrowthPR Newswire SAN DIEGO, May 4, 2018 SAN DIEGO, May 4, 2018 /PRNewswire/ "
23,EMR,"NA,,,,,,","Muni Fortnightly  July 2, 2018"
24,HOG,"There are questions of whether it can read the signs on the roadmap its laid out.,,,,,,",Is HarleyDavidson's Vision for the Future Realistic?
25,BMY,"Bristol-Myers Squibb Co said on Friday its blockbuster cancer drug Opdivo failed to meet the main goal in patients with a type of lung cancer, that had relapsed after chemotherapy.,,,,,,",BristolMyers' Opdivo fails to meet lung cancer study goal
26,APD,nan,The Passive DGI Core Portfolio: Midyear Review
27,GLW,nan,Corning questions judging after missing slopestyle qualification
28,KMB,nan,Buy Kotak Mahindra Bank; target of Rs 1440: ICICI Direct
29,JNPR,"Juniper Networks' (JNPR) Contrail Edge Cloud solution provides automation, security and analytics features in a cost and resource efficient manner.,,,,,,",Juniper Launches CostEffective Contrail Edge Cloud Solution
30,WFC,"Quarterly profit at JPMorgan Chase missed expectations, Wells Fargo and Citi beat on profits. Aleksandra Michalska reports.},,,,,,",Three big U.S. banks report earnings
31,SCG,nan,SCANA upgraded at Mizuho amid strong legal case in South Carolina rate cut
32,CMA,"CMA earnings call for the period ending June 30, 2018.,,,,,,",Comerica Incorporated (CMA) Q2 2018 Earnings Conference Call Transcript
33,GM,nan,"Gates Industrial: New IPO Has Value, But Better Buying Opportunities Are Likely"
34,TPR,"U.S. stocks closed Tuesday's session solidly in the green, halting a multiday tumble for the three main equity benchmarks, which advanced as Turkey's currency slide abated, allowing investors to focus instead on a healthy domestic economy and stro...,,,,,,","Dow, S&P 500 halt 4session skid as Turkish lira angst takes a breather"
35,HRS,"Harris ([[HRS]] +0.4%) has been selected as the prime systems integrator to modernize and upgrade an Asian nation's military communications network, extend,,,,,,",Harris wins upgrade award from Asian nation
36,HPE,"Since its split from Hewlett Packard Enterprise (HPE) in November 2015, HP Inc. (HPQ) has turned in a solid performance. After HP Inc. experienced a revenue decline of 6.2% YoY (year-over-year) in fiscal 2016, its revenues rose ~8.0% YoY in fiscal...,,,,,,",Why HP Inc. Is Optimistic about Its LongTerm Growth
37,CMG,"New management at Chipotle Mexican Grill will grow sales at the burrito chain through a new menu, digital and delivery offerings and other marketing successes, according to RBC Capital Markets.,,,,,,",Chipotle shares rise after RBC upgrades the stock and predicts 20% rally
38,ED,nan,Consolidated Edison declares $0.715 dividend
39,MOS,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Mosaic Co. upgraded to overweight from neutral at J.P. MorganThis is a Real
40,DISH,"U.S. satellite TV service provider Dish Network Corp reported better-than-expected quarterly profit and revenue on Friday, as the pace of subscriber losses for its pay-TV services slowed.,,,,,,",UPDATE 1Dish results beat estimates as subscriber losses slow
