,col
0,[]
1,['Exxon Mobil ']
2,['NDAQ']
3,[]
4,[]
5,[]
6,"['EW', 'RE', 'PSX', 'REG']"
7,['Ecolab ']
8,['Quest Diagnostics']
9,['Duke Realty ']
10,[]
11,[]
12,[]
13,"['CA', 'American Electric Power', 'AME', 'EA', 'EL', 'RE', 'ES', 'IT']"
14,"['Ameriprise Financial', 'AMP']"
15,['IR']
16,['Cognizant Technology Solutions']
17,[]
18,"['Eversource Energy', 'ES']"
19,"['Foot Locker ', 'FL']"
20,"['ED', 'DE', 'RE', 'FE', 'IT', 'SNA', 'UA']"
21,[]
22,[]
23,[]
24,[]
25,[]
26,['DG']
27,['Corning ']
28,['CI']
29,"['Juniper Networks', 'JNPR']"
30,"['Wells Fargo', 'JPM', 'PM']"
31,"['CA', 'SCANA ']"
32,"['Comerica ', 'CMA', 'MA']"
33,['IP']
34,[]
35,['HRS']
36,"['Hewlett Packard Enterprise', 'HP ', 'HP', 'HPE', 'HPQ']"
37,['Chipotle Mexican Grill']
38,['Consolidated Edison']
39,[]
40,['Dish Network']
41,['UNH']
42,"['JPM', 'PM']"
43,[]
44,"['Chipotle Mexican Grill', 'CMG']"
45,[]
46,"['FOXA', 'FOX']"
47,"['Microsoft ', 'Netflix ']"
48,[]
49,[]
50,[]
51,"['FLS', 'FL']"
52,[]
53,['General Dynamics']
54,['Comcast ']
55,['ADM']
56,[]
57,"['Fluor ', 'FLR', 'FL']"
58,['Microsoft ']
59,['Western Digital']
60,"['Regeneron', 'RE', 'REG', 'REGN']"
61,['Kroger ']
62,['Cognizant Technology Solutions']
63,"['Anthem ', 'EA']"
64,"['Pentair ', 'PNR']"
65,"['Baxter International ', 'BAX', 'BA']"
66,[]
67,"['Henry Schein', 'HSIC']"
68,"['Apple ', 'Hasbro ', 'Starbucks ']"
69,[]
70,"['Kroger ', 'EW']"
71,"['PH', 'PHM']"
72,"['Tyson Foods', 'TSN']"
73,[]
74,[]
75,"['PayPal', 'PYPL']"
76,['Kraft Heinz ']
77,['NiSource ']
78,['PNC']
79,['Stericycle ']
80,[]
81,[]
82,"['ADP', 'PM']"
83,['UHS']
84,['eBay ']
85,['Aetna ']
86,['Home Depot']
87,"['RE', 'IT']"
88,"['CA', 'Key', 'SCANA ', 'SCG']"
89,"['CBS ', 'CBS', 'CB']"
90,"['Netflix ', 'FL', 'MAR', 'MA', 'NFLX', 'WY', 'WYN', 'WYNN']"
91,[]
92,"['Incyte', 'MRK']"
93,[]
94,[]
95,[]
96,"['PNC Financial Services', 'PNC']"
97,[]
98,['Stryker ']
99,['Comcast ']
100,"['Albemarle ', 'Ross Stores']"
101,['Allergan']
102,['Home Depot']
103,[]
104,"['FB', 'GD']"
105,[]
106,"['MAR', 'MA']"
107,"['Public Storage', 'GE']"
108,[]
109,[]
110,['Alphabet Inc Class A']
111,['Becton Dickinson']
112,[]
113,"['Kraft Heinz ', 'Progressive ']"
114,"['GM', 'MGM']"
